ticker,cik,year,accession,doc,filing_date,status,cache_path
NVDA,1045810.0,2019,,,,no_filing_for_year,
NVDA,1045810.0,2020,0001045810-20-000010,nvda-2020x10k.htm,2020-02-20,cached,cached_edgar/1045810/000104581020000010/nvda-2020x10k.htm
NVDA,1045810.0,2025,0001045810-25-000023,nvda-20250126.htm,2025-02-26,cached,cached_edgar/1045810/000104581025000023/nvda-20250126.htm
AAPL,320193.0,2019,0000320193-19-000119,a10-k20199282019.htm,2019-10-31,cached,cached_edgar/320193/000032019319000119/a10-k20199282019.htm
AAPL,320193.0,2020,0000320193-20-000096,aapl-20200926.htm,2020-10-30,cached,cached_edgar/320193/000032019320000096/aapl-20200926.htm
AAPL,320193.0,2025,0000320193-25-000079,aapl-20250927.htm,2025-10-31,cached,cached_edgar/320193/000032019325000079/aapl-20250927.htm
MSFT,789019.0,2019,,,,no_filing_for_year,
MSFT,789019.0,2020,0001564590-20-034944,msft-10k_20200630.htm,2020-07-30,cached,cached_edgar/789019/000156459020034944/msft-10k_20200630.htm
MSFT,789019.0,2025,0000950170-25-100235,msft-20250630.htm,2025-07-30,cached,cached_edgar/789019/000095017025100235/msft-20250630.htm
AMZN,1018724.0,2019,,,,no_filing_for_year,
AMZN,1018724.0,2020,0001018724-20-000004,amzn-20191231x10k.htm,2020-01-31,cached,cached_edgar/1018724/000101872420000004/amzn-20191231x10k.htm
AMZN,1018724.0,2025,0001018724-25-000004,amzn-20241231.htm,2025-02-07,cached,cached_edgar/1018724/000101872425000004/amzn-20241231.htm
GOOGL,1652044.0,2019,,,,no_filing_for_year,
GOOGL,1652044.0,2020,,,,no_filing_for_year,
GOOGL,1652044.0,2025,0001652044-25-000014,goog-20241231.htm,2025-02-05,cached,cached_edgar/1652044/000165204425000014/goog-20241231.htm
AVGO,1730168.0,2019,0001730168-19-000144,avgo-11032019x10k.htm,2019-12-20,cached,cached_edgar/1730168/000173016819000144/avgo-11032019x10k.htm
AVGO,1730168.0,2020,0001730168-20-000226,avgo-20201101.htm,2020-12-18,cached,cached_edgar/1730168/000173016820000226/avgo-20201101.htm
AVGO,1730168.0,2025,0001730168-25-000121,avgo-20251102.htm,2025-12-18,cached,cached_edgar/1730168/000173016825000121/avgo-20251102.htm
GOOG,1652044.0,2019,,,,no_filing_for_year,
GOOG,1652044.0,2020,,,,no_filing_for_year,
GOOG,1652044.0,2025,0001652044-25-000014,goog-20241231.htm,2025-02-05,already_cached,cached_edgar/1652044/000165204425000014/goog-20241231.htm
META,1326801.0,2019,,,,no_filing_for_year,
META,1326801.0,2020,,,,no_filing_for_year,
META,1326801.0,2025,0001326801-25-000017,meta-20241231.htm,2025-01-30,cached,cached_edgar/1326801/000132680125000017/meta-20241231.htm
