ticker,msci_esg_score
A,6
AA,5
AAL,5
AAMI,3
AAOI,2
AAON,6
AAP,6
AAPL,4
AAT,4
AB,2
ABBV,6
ABCB,4
ABG,5
ABM,5
ABNB,3
ABR,2
ABT,4
ACA,6
ACAD,2
ACEL,4
ACGL,6
ACHC,6
ACHR,4
ACI,4
ACIW,7
ACLS,3
ACLX,3
ACM,5
ACMR,2
ACN,6
ACT,3
ACVA,4
AD,4
ADBE,7
ADC,3
ADEA,5
ADI,7
ADM,6
ADMA,2
ADNT,4
ADP,7
ADPT,4
ADSK,7
ADT,7
ADUS,5
AEE,5
AEIS,6
AEO,5
AEP,4
AES,6
AESI,2
AFG,3
AFL,6
AFRM,3
AGCO,5
AGIO,3
AGM,4
AGNC,5
AGO,4
AGX,4
AGYS,5
AHCO,5
AHR,2
AI,5
AIG,4
AILIH,5
AIN,5
AIR,4
AIT,5
AIV,3
AIZ,7
AJG,4
AKAM,7
AKR,4
AKRO,2
AL,5
ALAB,2
ALB,5
ALE,5
ALEX,4
ALG,6
ALGM,3
ALGN,5
ALGT,4
ALHC,5
ALIT,4
ALK,7
ALKS,6
ALKT,4
ALL,7
ALLE,6
ALLY,5
ALNY,6
ALRM,5
ALSN,3
ALV,4
ALX,1
AM,2
AMAT,7
AMBA,3
AMC,4
AMD,6
AME,4
AMG,5
AMGN,5
AMH,3
AMKR,3
AMLX,4
AMP,4
AMPH,2
AMPL,4
AMR,2
AMRC,4
AMRX,2
AMSC,5
AMT,7
AMTM,1
AMWD,5
AMZN,4
AN,6
ANDE,7
ANET,6
ANF,6
ANIP,3
AON,5
AORT,4
AOS,4
APA,5
APAM,7
APD,5
APG,4
APGE,3
APH,3
APLD,3
APLE,2
APLS,2
APO,4
APOG,4
APP,3
APPF,5
APPN,5
APTV,6
AR,5
ARCB,6
ARDX,2
ARE,3
ARES,4
ARHS,3
ARI,4
ARIS,3
ARLO,5
ARLP,3
ARMK,5
AROC,5
ARQT,4
ARR,2
ARRY,5
ARW,6
ARWR,4
ASAN,6
ASB,6
ASGN,5
ASH,4
ASO,7
ASTE,6
ASTH,4
ASTS,3
ATEC,4
ATEN,5
ATGE,4
ATI,5
ATKR,5
ATLC,2
ATMU,3
ATO,6
ATR,6
ATRC,6
ATRO,4
ATUS,3
AUB,6
AUPH,2
AUR,4
AVA,6
AVAH,4
AVAV,5
AVB,5
AVDL,4
AVDX,4
AVGO,6
AVNT,5
AVPT,4
AVT,7
AVTR,6
AVY,6
AWI,6
AWK,5
AWR,4
AX,2
AXON,6
AXP,6
AXS,5
AXSM,3
AXTA,6
AYI,6
AZO,4
AZTA,6
AZZ,6
BA,3
BAC,5
BAH,4
BALL,7
BAM,5
BANC,4
BANF,3
BANR,5
BATRA,4
BAX,4
BB,7
BBAI,1
BBIO,3
BBSI,2
BBWI,7
BBY,7
BC,5
BCC,5
BCO,3
BCPC,5
BCRX,3
BDC,6
BDX,4
BE,5
BEAM,3
BELFA,3
BEN,4
BFAM,7
BFC,3
BFH,5
BFS,1
BG,7
BGC,2
BHC,5
BHE,6
BHF,3
BHVN,5
BIIB,6
BILL,6
BIO,4
BJ,6
BK,6
BKD,5
BKE,3
BKH,5
BKNG,5
BKR,6
BKU,4
BKV,5
BL,6
BLBD,3
BLD,6
BLDR,5
BLFS,5
BLK,5
BLKB,6
BLND,7
BMBL,4
BMI,7
BMRN,4
BMY,5
BNL,4
BOH,4
BOKF,3
BOOT,6
BOW,2
BOX,6
BPOP,5
BR,7
BRBR,3
BRC,4
BRKR,5
BRO,5
BROS,2
BRX,6
BRZE,5
BSX,4
BSY,6
BTSG,5
BTU,4
BUR,6
BURL,6
BUSE,4
BV,3
BWA,6
BWIN,5
BWXT,6
BX,2
BXMT,4
BXP,5
BY,4
BYD,5
C,5
CABO,7
CACC,4
CACI,5
CAG,6
CAH,7
CAKE,4
CALM,3
CALX,6
CAR,6
CARG,4
CARR,6
CART,3
CASH,4
CASY,7
CAT,6
CATY,3
CAVA,3
CBL,4
CBOE,6
CBRE,7
CBRL,5
CBSH,4
CBT,5
CBU,4
CBZ,4
CC,1
CCB,3
CCCS,5
CCI,7
CCK,6
CCL,3
CCOI,5
CCS,5
CDE,5
CDNS,6
CDP,5
CDRE,3
CDW,5
CE,5
CECO,5
CEG,4
CELH,2
CENT,3
CENX,3
CERT,5
CF,5
CFG,5
CFLT,6
CFR,3
CG,4
CGNX,4
CGON,4
CHCO,4
CHD,6
CHDN,4
CHE,5
CHEF,4
CHH,6
CHRD,3
CHRW,7
CHTR,4
CHWY,4
CI,6
CIEN,6
CIFR,2
CIGI,5
CIM,6
CINF,4
CIVI,5
CL,7
CLBK,3
CLDX,5
CLF,4
CLH,3
CLMT,2
CLOV,4
CLS,6
CLSK,2
CLX,7
CMA,5
CMC,6
CMCSA,3
CME,4
CMG,5
CMI,7
CMPO,4
CMPR,4
CMS,6
CNA,6
CNC,6
CNH,7
CNK,6
CNLHN,6
CNM,6
CNMD,5
CNNE,3
CNO,6
CNOB,3
CNP,5
CNR,6
CNS,3
CNX,5
CNXC,5
CNXN,3
COCO,3
COF,5
COGT,3
COHR,4
COHU,3
COIN,3
COKE,2
COLB,4
COLD,3
COLL,4
COLM,6
COMM,6
COMP,4
CON,4
COO,7
COOP,4
COP,5
COR,6
CORT,2
CORZ,2
COST,4
COTY,5
COUR,6
CP,5
CPAY,3
CPB,6
CPK,5
CPRI,6
CPRT,5
CPRX,5
CPT,3
CQP,5
CR,5
CRAI,4
CRBG,3
CRC,4
CRCT,5
CRDO,5
CRGY,4
CRH,7
CRI,6
CRK,1
CRL,5
CRM,6
CRNX,5
CRON,4
CROX,6
CRS,5
CRUS,6
CRVL,6
CRWD,3
CSCO,6
CSGP,5
CSGS,6
CSL,6
CSR,4
CSW,3
CSX,6
CTAS,5
