issuer_ticker,as_of_date,iva_company_rating,environmental_pillar_score,climate_change_theme_score,carbon_emissions_score,energy_efficiency_score,prod_carb_ftprnt_score,ins_climate_chg_risk_score
SMG,2025-09-01,BB,2.70,3.90,3.90,,,
SO,2025-09-01,A,5.60,5.90,5.90,,,
DRI,2025-09-01,BBB,1.40,0.10,0.10,,,
APH,2025-09-01,BB,4.50,0.10,0.10,,,
JHG,2025-09-01,AAA,0.10,0.10,0.10,,,
VSH,2025-09-01,BBB,4.40,0.07,0.07,,,
ALL,2025-09-01,AAA,9.10,9.10,9.10,,,
BRKR,2025-09-01,A,0.10,0.10,0.10,,,
SEM,2025-09-01,B,3.30,3.80,3.80,,,
BDX,2025-09-01,BBB,0.10,0.10,0.10,,,
IPAR,2025-09-01,BB,7.90,7.90,0.10,,7.90,
ISRG,2025-09-01,A,0.10,0.10,0.10,,,
JKHY,2025-09-01,A,0.09,0.09,0.09,,,
KLIC,2025-09-01,AA,3.10,8.80,8.80,,,
FOR,2025-09-01,B,2.40,6.30,6.30,,,
BPOP,2025-09-01,A,2.90,2.90,8.30,,,
GRC,2025-09-01,BBB,3.50,7.70,7.70,,,
CNP,2025-09-01,A,0.06,6.30,6.30,,,
RTX,2025-09-01,BBB,4.30,0.10,0.10,,,
AES,2025-09-01,AA,6.80,7.10,7.10,,,
GFF,2025-09-01,A,6.80,0.10,0.10,,,
GPK,2025-09-01,A,4.80,7.10,7.10,,,
AIR,2025-09-01,BBB,3.20,0.10,0.10,,,
IP,2025-09-01,A,5.50,6.60,6.60,,,
IP,2025-09-01,BB,3.90,8.50,8.50,,,
LMAT,2025-09-01,BB,6.40,6.40,6.40,,,
PAYX,2025-09-01,AA,0.10,0.10,0.10,,,
PCAR,2025-09-01,BBB,4.80,0.10,0.10,,,
WRLD,2025-09-01,B,6.70,6.70,6.70,,,
PPG,2025-09-01,AAA,7.70,0.10,0.10,,,
NVR,2025-09-01,A,4.10,0.06,0.06,,,
SPG,2025-09-01,BBB,4.50,6.30,8.80,,6.30,
FR,2025-09-01,AA,7.40,0.10,0.10,,,
PTEN,2025-09-01,BBB,4.60,3.90,3.90,,,
WCC,2025-09-01,AAA,4.50,0.10,0.10,,,
ALGT,2025-09-01,BBB,2.80,2.80,2.80,,,
ECL,2025-09-01,AAA,8.10,0.10,0.10,,,
ENB,2025-09-01,AA,5.50,6.90,6.90,,,
LHX,2025-09-01,A,2.40,0.10,0.10,,,
ITGR,2025-09-01,A,7.80,7.80,7.80,,,
MCY,2025-09-01,B,5.50,5.50,6.70,,,5.50
CMA,2025-09-01,A,1.40,1.40,0.10,,,
CMI,2025-09-01,AAA,5.50,0.10,0.10,,,
AM,2025-09-01,B,2.80,0.10,0.10,,,
AMAT,2025-09-01,AAA,4.80,0.10,0.10,,,
CNOB,2025-09-01,BB,0.00,0.00,6.70,,,
AVT,2025-09-01,AAA,2.80,0.10,0.10,,,
HLIT,2025-09-01,AA,0.02,0.10,0.10,,,
BKE,2025-09-01,BB,0.02,2.10,6.20,,2.10,
BRC,2025-09-01,BBB,4.50,9.70,9.70,,,
KTOS,2025-09-01,A,0.02,6.10,6.10,,,
A,2025-09-01,AA,0.10,0.10,0.10,,,
CNR,2025-09-01,AA,5.90,5.90,5.90,,,
KMI,2025-09-01,AAA,6.40,0.05,0.05,,,
HUBB,2025-09-01,AA,4.50,0.10,0.10,,,
KBR,2025-09-01,AAA,0.10,0.10,0.10,,,
GIS,2025-09-01,AAA,4.50,8.10,9.30,,8.10,
MRK,2025-09-01,A,5.20,0.10,0.10,,,
KAI,2025-09-01,BBB,3.70,9.10,9.10,,,
MKL,2025-09-01,A,5.90,5.90,0.07,,,5.90
MMS,2025-09-01,BBB,0.10,0.10,0.10,,,
SCCO,2025-09-01,BB,2.30,6.20,6.20,,,
TBBK,2025-09-01,BBB,1.20,1.20,7.70,,,
UHS,2025-09-01,CCC,6.50,6.50,6.50,,,
WBS,2025-09-01,BBB,0.30,0.30,0.08,,,
SUN,2025-09-01,AA,5.70,0.10,0.10,,,
WU,2025-09-01,A,0.08,0.08,0.08,,,
POR,2025-09-01,AA,6.80,0.06,0.06,,,
AON,2025-09-01,A,7.80,7.80,0.10,,,7.80
HWM,2025-09-01,A,2.20,0.10,0.10,,,
ALX,2025-09-01,CCC,6.20,0.09,0.09,,,
G,2025-09-01,AAA,0.10,0.10,9.70,,,0.10
CASH,2025-09-01,BBB,0.00,0.00,8.30,,,
CNA,2025-09-01,AA,4.70,0.05,0.05,,,
DXCM,2025-09-01,BBB,8.40,8.40,8.40,,,
LFUS,2025-09-01,A,4.10,9.90,9.90,,,
AORT,2025-09-01,BBB,8.60,8.60,8.60,,,
