Period,Group,N,Mean_Return,Std_Return,ESG_R2,ESG_AdjR2,ESG_coef,ESG_tstat,ESG_pval,TLS_R2,TLS_AdjR2,TLS_coef,TLS_tstat,TLS_pval,Combined_R2,Combined_AdjR2,Combined_ESG_coef,Combined_ESG_tstat,Combined_ESG_pval,Combined_TLS_coef,Combined_TLS_tstat,Combined_TLS_pval
1Y,Overall,1945,0.2444088395270294,1.3784721237896937,0.01099997659090668,0.010490969888174217,-0.1445380515579623,-4.6487279330583124,3.5644918620236367e-06,0.0031660603994951853,0.0026530218304778863,0.07754359175811935,2.484188746512618,0.013068381946356612,0.014077024911723912,0.01306165624530975,-0.14395623018166898,-4.635906741094138,3.790287755837483e-06,0.07644798655323984,2.461899257558962,0.013906674343428304
5Y,Overall,1945,1.3395091893025588,2.6533705284208073,0.0046433274288743,0.004131049161982259,-0.18075939672041255,-3.010659836557864,0.0026403879489294412,1.7143693439192198e-05,-0.0004975155223645444,0.010983441078195183,0.18251237608162552,0.8551996828386996,0.0046564462575541254,0.003631375656377611,-0.1806862710335322,-3.008600042217139,0.0026582857705352543,0.009608295183190878,0.15998734784015783,0.8729076789932447
1Y,Communications,52,0.15276224141072975,0.38181877868619285,0.002325322945678665,-0.017628170595407777,0.018234016310239298,0.34137535610391406,0.7342515414953659,0.027113648063485263,0.007655921024754986,0.06226366455151695,1.1804508900836177,0.24340630606600447,0.03532588144855653,-0.004048572369869774,0.03530948347418143,0.6458599701129085,0.5213833695546723,0.07078176173956836,1.2946976852573857,0.20149242963101638
5Y,Communications,52,0.5058837462745047,0.8820075189577229,0.0025477138050605808,-0.017401331918838192,-0.044089078708276136,-0.3573668444154138,0.7223212423187224,0.02751936591727,0.008069753235615429,0.14490217860540858,1.189498045744994,0.23986176675803078,0.027635438399931322,-0.012052911053132664,-0.00969706625732887,-0.07648004162755219,0.9393486166704983,0.14256284807174902,1.124382598379103,0.2663288115834725
1Y,Consumer Discretionary,208,0.09519765663596494,0.475939225224665,0.032125727083324174,0.027427308282757745,-0.08510037764431372,-2.614873115653802,0.009585905136164908,0.0007896881138406142,-0.004060847380752408,0.013342364627760511,0.4034901685102787,0.6870061676022561,0.03236763785611041,0.022927322127877292,-0.08458052797860939,-2.5865072658863317,0.010387627921446764,0.007402970719260014,0.22638588351390196,0.8211268736667288
5Y,Consumer Discretionary,208,1.0710031409191283,2.5495755403774245,0.0015266150590498295,-0.003320343120275071,-0.09937706366705625,-0.561216117224569,0.5752601977452851,0.0022140263254163406,-0.002629594906013777,0.11967757470124628,0.6760927877862165,0.49974006828907247,0.0034996977459250678,-0.0062222564224074794,-0.09142391332363699,-0.5142842309533628,0.6076072442916252,0.11325762619935217,0.6371047691138161,0.5247674470958887
1Y,Consumer Staples,73,0.007396910906931398,0.3493282618249925,0.03777727047465462,0.024224837664438503,-0.0674301039038494,-1.6695777807862122,0.09940662551889409,0.006552663581407936,-0.007439552424487683,0.028083257160972257,0.6843301670970953,0.49599443126972764,0.04469605176377944,0.017401653242744675,-0.06776050585761155,-1.671813652700055,0.09902584101931047,0.028859035125343734,0.7120213805322487,0.4788179558662147
5Y,Consumer Staples,73,0.8101730463933399,1.372558857614127,0.08989129476047131,0.07707286229230892,-0.40869056608725784,-2.6481425410711625,0.009965695513790554,0.003155405321196958,-0.010884659392589091,-0.07657083300177873,-0.4740705990157994,0.6369042542608334,0.09267321160800601,0.0667495890825206,-0.407867381686867,-2.6279788684502665,0.010547854068662009,-0.07190123198428547,-0.4632753849762603,0.6446041843720349
1Y,Energy,91,0.2309281602749063,0.6803021894928509,0.06471354278899943,0.05420470619112294,-0.17210758686986877,-2.4815342203769557,0.01496022831503136,0.007884660815689504,-0.0032627025459319725,0.060075021513256666,0.8410182671286176,0.4025916454934181,0.07259664310629188,0.05151929408598033,-0.17210551186415207,-2.477988896703611,0.015121736058344663,0.06006907635906689,0.8648793559296417,0.38945657802713807
5Y,Energy,91,3.4573655722823293,4.57647952556858,0.00858798515502468,-0.0025514756859301713,-0.42177198037228164,-0.8780384955630222,0.38228705175033706,0.00991221980412793,-0.0012123619958257503,-0.4531244995790507,-0.9439383158547227,0.34775664733364464,0.0185008424067441,-0.003805956629466145,-0.4217876334539836,-0.8775222363649103,0.3825925228746112,-0.4531390696674175,-0.9427483839263604,0.3483906350413698
