value,date,filename,description,operating country,listing country,currency,sector,industry
4318800.0000000,11-30-2025,NVDA,NVIDIA Corp.,United States,United States,USD,Information Technology,Semiconductors
4138242.7515000,11-30-2025,AAPL,Apple Inc,United States,United States,USD,Information Technology,Computers & Peripherals
3872256.9200000,11-30-2025,GOOGL,Alphabet Inc. Class A,United States,United States,USD,Communications,Internet
3871531.2800000,11-30-2025,GOOG,Alphabet Inc. Class C,United States,United States,USD,Communications,Internet
3657193.9717000,11-30-2025,MSFT,Microsoft Corp.,United States,United States,USD,Information Technology,Software
2487270.3102000,11-30-2025,AMZN,Amazon.com Inc.,United States,United States,USD,Consumer Discretionary,Retail - Internet & Media
1627741.1130000,11-30-2025,META,Meta Platforms Inc. (Facebook Inc.),United States,United States,USD,Communications,Internet
1511931.1905000,11-30-2025,TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,Taiwan,United States,USD,Information Technology,Semiconductors
1430379.7755000,11-30-2025,TSLA,Tesla Inc,United States,United States,USD,Consumer Discretionary,Automobiles & Motorcycles
1108944.0000000,11-30-2025,BRK.A,Berkshire Hathaway Inc Class A,United States,United States,USD,Finance,Insurance
1108462.8654000,11-30-2025,BRK.B,Berkshire Hathaway Inc Class B,United States,United States,USD,Finance,Insurance
1017889.3362000,11-30-2025,LLY,Lilly (Eli) & Co.,United States,United States,USD,Health Care,Biotechnology & Life Sciences
881916.2142000,11-30-2025,WMT,Walmart Inc,United States,United States,USD,Consumer Staples,Retail - Food & Drug
860891.7300000,11-30-2025,JPM,JPMorgan Chase & Co. (Chemical Bank),United States,United States,USD,Finance,Banks
724211.1136000,11-30-2025,TCEHY,Tencent Holdings Ltd ADR,China,United States,USD,Communications,Internet
637385.7420000,11-30-2025,SMFNF,Sumitomo Mitsui Financial Group Inc. Ordinary ADR,Japan,United States,USD,Finance,Banks
612958.2876000,11-30-2025,V,VISA Inc,United States,United States,USD,Finance,Consumer Finance
573883.3345000,11-30-2025,ORCL,Oracle Corp,United States,United States,USD,Information Technology,Software
498333.7128000,11-30-2025,JNJ,Johnson & Johnson Co.,United States,United States,USD,Health Care,Biotechnology & Life Sciences
497684.6253000,11-30-2025,MA,Mastercard Inc,United States,United States,USD,Finance,Consumer Finance
494195.9400000,11-30-2025,XOM,ExxonMobil Corp. (Standard Oil of New Jersey),United States,United States,USD,Energy,Integrated Oil & Gas
457139.6940000,11-30-2025,NFLX,Netflix Inc,United States,United States,USD,Communications,Entertainment
416876.8000000,11-30-2025,ASML,ASML Holding NV (ADR),Netherlands,United States,USD,Information Technology,Semiconductors
402245.7120000,11-30-2025,ABBV,AbbVie Inc,United States,United States,USD,Health Care,Pharmaceuticals
401285.2716000,11-30-2025,COST,Costco Co.,United States,United States,USD,Consumer Staples,Retail - Food & Drug
399620.6730000,11-30-2025,PLTR,Palantir Technologies Inc,United States,United States,USD,Information Technology,Software
397382.8675000,11-30-2025,BAC,Bank of America Corp. (North Carolina National Bank),United States,United States,USD,Finance,Banks
375015.7840000,11-30-2025,BABA,Alibaba Group Holding Ltd ADR,China,United States,USD,Communications,Internet
370755.2646000,11-30-2025,LVMUY,LVMH Moet Hennessy Louis Vuitton (Unsponsored ADR),France,United States,USD,Consumer Discretionary,Apparel & Luxury Goods
355110.4156000,11-30-2025,HD,"Home Depot, Inc. (The)",United States,United States,USD,Consumer Discretionary,Retail - Specialty
353016.3852000,11-30-2025,AMD,Advanced Micro Devices Inc,United States,United States,USD,Information Technology,Semiconductors
346766.9984000,11-30-2025,PG,Procter & Gamble Co. (OH) (1905),United States,United States,USD,Consumer Staples,Household Products
316488.3180000,11-30-2025,GE,GE Aerospace,United States,United States,USD,Industrials,Conglomerates
314684.3504000,11-30-2025,KO,Coca Cola Co.,United States,United States,USD,Consumer Staples,Beverages
304682.4000000,11-30-2025,CSCO,"Cisco Systems, Inc.",United States,United States,USD,Information Technology,Communications Equipment
304352.3343000,11-30-2025,RHHBY,Roche Holdings Ltd Sponsored ADR,Switzerland,United States,USD,Health Care,Pharmaceuticals
298662.7959000,11-30-2025,UNH,UnitedHealth Group Inc.,United States,United States,USD,Health Care,Health Care Services
296989.8750000,11-30-2025,SAP,SAP SE ADR,Germany,United States,USD,Information Technology,Software
295460.7398000,11-30-2025,IDCBY,Industrial & Commercial Bank of China Ltd Unsponsored ADR,China,United States,USD,Finance,Banks
287976.6867000,11-30-2025,SHEL,Shell PLC,United States,United States,USD,Energy,Oil & Gas Production
287560.8808000,11-30-2025,AZN,AstraZeneca PLC,United States,United States,USD,Health Care,Biotechnology & Life Sciences
286794.2520000,11-30-2025,IBM,International Business Machines Corp,United States,United States,USD,Information Technology,Computers & Peripherals
275459.5680000,11-30-2025,NVS,Novartis AG ADS,Switzerland,United States,USD,Health Care,Biotechnology & Life Sciences
275015.3240000,11-30-2025,WFC,Wells Fargo & Co. (New) (Northwest Bancorporation),United States,United States,USD,Finance,Banks
272003.6754000,11-30-2025,TM,Toyota Motors Corp. ADR,Japan,United States,USD,Consumer Discretionary,Automobiles & Motorcycles
270835.0444000,11-30-2025,MS,Morgan Stanley,United States,United States,USD,Finance,Consumer Finance
269732.0448000,11-30-2025,CAT,Caterpillar Inc.,United States,United States,USD,Industrials,Machinery
265441.7056000,11-30-2025,MU,"Micron Technology, Inc.",United States,United States,USD,Information Technology,Semiconductors
264261.6270000,11-30-2025,CICHY,China Construction Bank Corp ADR,China,United States,USD,Finance,Banks
262067.2704000,11-30-2025,ACGBY,Agricultural Bank of China Unsponsored ADR,China,United States,USD,Finance,Banks
261842.2774000,11-30-2025,MRK,Merck & Co,United States,United States,USD,Health Care,Biotechnology & Life Sciences
261151.1287000,11-30-2025,CVX,Chevron Corp. (Standard Oil of California),United States,United States,USD,Energy,Integrated Oil & Gas
256569.8616000,11-30-2025,NSRGY,Nestle SA ADR,Switzerland,United States,USD,Consumer Staples,Food Products
254184.0876000,11-30-2025,AXP,American Express Co,United States,United States,USD,Finance,Consumer Finance
250058.8288000,11-30-2025,GS,Goldman Sachs Group Inc,United States,United States,USD,Finance,Consumer Finance
245546.1192000,11-30-2025,HSBC,HSBC Holdings plc ADR,United Kingdom,United States,USD,Finance,Banks
245131.7932000,11-30-2025,PM,Philip Morris International Inc,United States,United States,USD,Consumer Staples,Tobacco
241114.6914000,11-30-2025,BKNG,Booking Holdings Inc. (Priceline),United States,United States,USD,Consumer Discretionary,Consumer Services
235224.0342000,11-30-2025,TMUS,T-Mobile US Inc,United States,United States,USD,Utilities & Telecommunications,Telephone
232290.3226000,11-30-2025,LRLCY,L'Oreal Co. SA ADR,France,United States,USD,Consumer Staples,Personal Products
227934.7680000,11-30-2025,CFRUY,Compagnie Financiere Richemont S.A. ADR (New) ADR,Switzerland,United States,USD,Consumer Discretionary,Apparel & Luxury Goods
224345.2940000,11-30-2025,ABT,Abbott Laboratories,United States,United States,USD,Health Care,Biotechnology & Life Sciences
223103.3163000,11-30-2025,TMO,"Thermo Fisher Scientific, Inc.",United States,United States,USD,Health Care,Biotechnology & Life Sciences
222514.7520000,11-30-2025,MCD,McDonald's Corp.,United States,United States,USD,Consumer Discretionary,Restaurants
220396.2400000,11-30-2025,CRM,Salesforce Inc,United States,United States,USD,Information Technology,Software
