ticker,cik,filing_date,accession,doc,tokens,substantive_full15,boilerplate_full15,tls_full15
A,1090872,2020-12-18,0001090872-20-000020,a-20201031.htm,73384,0.0,0.4088084596097242,-0.4088084596097242
AA,1675149,2020-02-21,0001564590-20-005759,aa-10k_20191231.htm,82285,2.795163152457921,0.8507018290089323,1.9444613234489885
AAL,6201,2020-02-19,0000006201-20-000023,a10k123119.htm,111642,0.1343580372977911,0.4030741118933734,-0.2687160745955823
AAMI,1748824,2020-03-02,0001748824-20-000008,bsig12311910-k.htm,84315,0.0,0.6523157208088715,-0.6523157208088715
AAOI,1158114,2020-02-28,0001437749-20-003909,aaoi20191231_10k.htm,64015,0.0,0.6248535499492307,-0.6248535499492307
AAON,824142,2020-02-27,0000824142-20-000025,aaon-20191231.htm,34034,4.407357348533819,0.5876476464711758,3.819709702062643
AAP,1158449,2020-02-18,0001158449-20-000035,aap10k12282019secreport.htm,37095,2.0218358269308534,0.6739452756436177,1.3478905512872354
AAPL,320193,2020-10-30,0000320193-20-000096,aapl-20200926.htm,38712,0.0,0.3874767513949163,-0.3874767513949163
AAT,1500217,2020-02-14,0001500217-20-000010,a2019-10kq4.htm,78990,0.126598303582732,0.126598303582732,0.0
AB,825313,2020-02-12,0000825313-20-000012,ab-20191231x10k.htm,90284,0.1107615967391786,1.7721855478268576,-1.661423951087679
ABBV,1551152,2020-02-21,0001551152-20-000007,abbv-20191231x10k.htm,60106,0.9982364489402056,0.6654909659601371,0.3327454829800685
ABCB,351569,2020-03-20,0000351569-20-000022,abcb-20191231.htm,52093,0.0,3.6473230568406505,-3.6473230568406505
ABG,1144980,2020-03-02,0001144980-20-000059,abg201910-k.htm,66013,0.2272279702482844,0.3787132837471407,-0.1514853134988562
ABM,771497,2020-12-17,0000771497-20-000018,abm-20201031.htm,54415,0.1837728567490581,0.2756592851235872,-0.091886428374529
ABR,1253986,2020-02-14,0001047469-20-000885,a2240688z10-k.htm,82331,0.3643827962735786,1.2753397869575251,-0.9109569906839464
ABT,1800,2020-02-21,0001104659-20-023904,abt-20191231x10k59d41b.htm,61369,2.4442308005670617,1.059166680245727,1.385064120321335
ACA,1739445,2020-02-27,0001739445-20-000026,aca1231201910k.htm,49709,13.428151843730513,1.5087811060371363,11.919370737693376
ACAD,1070494,2020-02-27,0001564590-20-006889,acad-10k_20191231.htm,65150,0.0,0.6907137375287797,-0.6907137375287797
ACEL,1698991,2020-03-16,0001698991-20-000006,accel-20191231x10k.htm,62341,0.1604080781508156,0.2406121172262235,-0.0802040390754078
ACGL,947484,2020-02-28,0000947484-20-000012,a201910-k.htm,132160,0.3026634382566586,0.8701573849878934,-0.5674939467312349
ACHC,1520697,2020-02-28,0001564590-20-007769,achc-10k_20191231.htm,75830,0.0,1.252802320981142,-1.252802320981142
ACI,1646972,2020-08-07,0001646972-20-000038,acify1910-ka.htm,33103,0.906262272301604,1.2083496964021387,-0.3020874241005347
ACIW,935036,2020-02-27,0000935036-20-000009,aciw-20191231x10k.htm,55153,0.0,0.0,0.0
ACLS,1113232,2020-03-02,0001558370-20-001858,acls-20191231x10k.htm,31897,0.0,1.0972818760384988,-1.0972818760384988
ACM,868857,2020-11-19,0001104659-20-126988,acm-20200930x10k.htm,71094,1.4769178833656846,3.3054828818184374,-1.8285649984527528
ACMR,1680062,2020-03-24,0001140361-20-006743,form10k.htm,63714,0.0,0.9417082587814294,-0.9417082587814294
AD,821130,2020-02-25,0000821130-20-000018,usm1231201910-k.htm,35600,0.4213483146067416,0.8426966292134832,-0.4213483146067416
ADBE,796343,2020-01-21,0000796343-20-000013,adbe10kfy19.htm,67364,0.0,1.1875779348019713,-1.1875779348019713
ADC,917251,2020-02-20,0001558370-20-001080,adc-20191231x10k4f0b3a.htm,78427,0.0,0.1275071085213,-0.1275071085213
ADI,6281,2020-11-24,0000006281-20-000156,adi-20201031.htm,63089,2.536099795526954,2.0605810838656504,0.4755187116613039
ADM,7084,2020-02-18,0000007084-20-000009,adm-20191231x10k.htm,60257,0.4978674676801036,0.5808453789601208,-0.0829779112800172
ADMA,1368514,2020-03-13,0001193805-20-000348,e619435_10k-adma.htm,62067,0.7250229590603703,1.1278134918716871,-0.4027905328113168
ADNT,1670541,2020-11-30,0001670541-20-000080,adnt-20200930.htm,70124,0.2852090582396897,1.8538588785579828,-1.5686498203182933
ADP,8670,2020-08-05,0000008670-20-000032,adp-20200630.htm,49641,0.0,0.604339155133861,-0.604339155133861
ADPT,1478320,2020-02-26,0001564590-20-006830,adpt-10k_20191231.htm,91189,0.0,1.5901040695697946,-1.5901040695697946
ADSK,769397,2020-03-19,0000769397-20-000013,adsk-0131202010xk.htm,65564,0.8388749923738636,1.906534073576963,-1.0676590812030993
ADT,1703056,2020-03-10,0001703056-20-000013,adtinc10-k12x31x2019cl.htm,78190,0.0,1.0870955365136208,-1.0870955365136208
ADUS,1468328,2020-08-10,0001564590-20-038909,adus-10k_20191231.htm,94505,0.5290725358446643,1.2697740860271942,-0.74070155018253
AEE,1002910,2020-02-28,0001002910-20-000077,aee201910-k.htm,108590,29.44562114375173,0.6906713325352242,28.754949811216505
AEIS,927003,2020-03-02,0001558370-20-001892,aeis-20191231x10k136eb2.htm,59816,15.756653738130266,0.0,15.756653738130266
AEO,919012,2020-03-12,0001564590-20-010469,aeo-10k_20200201.htm,35666,0.4205686087590422,2.1028430437952115,-1.682274435036169
